order_id,customer_id,archetype,previous_orders,previous_delivered_orders,previous_rto_orders,previous_cancelled_orders,customer_rto_rate,customer_success_rate,days_since_first_order,order_value,number_of_items,product_category,discount_percentage,payment_method,cod_selected,pincode,pincode_rto_rate,address_completeness,address_changes,city_state_match,checkout_attempts,checkout_duration,cart_revisions,quantity_changes,payment_attempts,session_duration,intent_score,device_linked_accounts,true_rto_probability,is_rto
ORD_000002,CUS_15152,LEGITIMATE,6,5,0,1,0.0,0.8333,410,6496,3,ELECTRONICS,0,UPI,0,400050,0.08,1.0,0,1,2,136,0,0,1,424,89.0,1,0.0049,0
ORD_000003,CUS_10472,LEGITIMATE,16,16,0,0,0.0,1.0,599,1270,4,HOME,5,UPI,0,110016,0.07,0.9,0,1,1,192,2,1,1,427,93.0,1,0.0021,0
ORD_000005,CUS_01493,LEGITIMATE,20,19,0,1,0.0,0.95,29,1264,1,ACCESSORIES,0,COD,1,110001,0.09,0.91,0,1,1,47,1,0,1,279,93.0,1,0.0406,0
ORD_000006,CUS_09967,LEGITIMATE,23,22,0,1,0.0,0.9565,84,1190,1,FASHION,5,CARD,0,700001,0.12,0.85,0,1,1,136,0,1,1,340,88.0,1,0.0036,0
ORD_000007,CUS_10115,OCCASIONAL_RTO,10,7,1,2,0.1,0.7,211,8182,1,ELECTRONICS,20,UPI,0,110016,0.07,0.66,0,1,1,144,0,0,1,476,75.0,1,0.0097,0
ORD_000008,CUS_04034,LEGITIMATE,14,13,0,1,0.0,0.9286,384,2097,1,ACCESSORIES,0,UPI,0,110016,0.07,0.93,0,1,1,52,0,0,1,326,93.0,1,0.0019,0
ORD_000009,CUS_10157,SERIAL_RETURNER,22,4,15,3,0.6818,0.1818,571,7481,1,ELECTRONICS,20,COD,1,302001,0.18,0.67,0,0,3,95,4,1,2,378,24.0,3,0.9503,1
ORD_000011,CUS_15248,LEGITIMATE,6,6,0,0,0.0,1.0,704,2523,1,FASHION,20,UPI,0,560038,0.09,0.95,1,1,1,148,1,0,1,325,93.0,1,0.0045,0
ORD_000013,CUS_03171,LEGITIMATE,27,27,0,0,0.0,1.0,636,2678,1,FASHION,40,COD,1,400001,0.09,0.83,0,1,1,108,1,0,1,205,85.0,1,0.0504,0
ORD_000014,CUS_08638,LEGITIMATE,29,28,0,1,0.0,0.9655,207,2900,1,FASHION,0,UPI,0,700001,0.12,0.99,0,1,1,180,1,0,1,451,88.0,1,0.0041,0
ORD_000015,CUS_13108,LEGITIMATE,12,11,0,1,0.0,0.9167,144,2449,2,ELECTRONICS,15,COD,1,110070,0.08,0.86,0,1,1,125,0,0,1,384,93.0,1,0.0181,0
ORD_000018,CUS_06327,OCCASIONAL_RTO,5,2,1,2,0.2,0.4,213,3111,1,ACCESSORIES,20,COD,1,201309,0.19,0.71,0,1,1,276,0,0,1,873,54.0,2,0.4554,0
ORD_000019,CUS_04317,LEGITIMATE,26,24,2,0,0.0769,0.9231,474,2147,1,FASHION,40,UPI,0,110016,0.07,0.78,0,1,2,67,0,0,1,420,81.0,1,0.0042,0
ORD_000020,CUS_14093,OCCASIONAL_RTO,3,2,1,0,0.3333,0.6667,44,4303,4,FASHION,30,UPI,0,380001,0.14,0.75,2,1,1,53,0,1,1,139,46.0,1,0.1269,0
